epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1711.23,0.94994,0.71933,1.32671,0.95275,0.93426,0.9827,0.702,1.02686,0.56841,1.43517,0.0011882,0.0011882,0.0011882
43,1751.82,0.96261,0.73814,1.33489,0.94707,0.9112,0.9762,0.71572,0.94192,0.54367,1.33385,0.0011684,0.0011684,0.0011684
44,1792.52,0.96129,0.73099,1.33168,0.96122,0.95695,0.98669,0.69652,1.07798,0.56658,1.47237,0.0011486,0.0011486,0.0011486
45,1832.89,0.95202,0.71637,1.32201,0.97543,0.91987,0.98549,0.71569,0.97552,0.53873,1.35936,0.0011288,0.0011288,0.0011288
46,1873.42,0.93421,0.70072,1.30142,0.96813,0.93828,0.98562,0.71933,1.00032,0.57276,1.38342,0.001109,0.001109,0.001109
47,1914.09,0.94123,0.71115,1.30798,0.96063,0.94206,0.98502,0.72364,0.94264,0.51935,1.34047,0.0010892,0.0010892,0.0010892
48,1954.6,0.92781,0.7007,1.30363,0.94321,0.96186,0.98743,0.72984,0.92217,0.50607,1.33117,0.0010694,0.0010694,0.0010694
49,1995.22,0.92569,0.69079,1.30096,0.9532,0.94361,0.97708,0.68925,1.09864,0.58242,1.48986,0.0010496,0.0010496,0.0010496
50,2035.89,0.92552,0.68528,1.29793,0.95701,0.94548,0.98134,0.71525,0.9649,0.53945,1.36076,0.0010298,0.0010298,0.0010298
51,2076.29,0.92116,0.68288,1.30082,0.96229,0.95367,0.98659,0.72876,0.98482,0.52845,1.35462,0.00101,0.00101,0.00101
52,2116.69,0.92502,0.68498,1.30107,0.95674,0.9393,0.98179,0.71407,0.96889,0.53312,1.35134,0.0009902,0.0009902,0.0009902
53,2157.41,0.91642,0.68778,1.29732,0.97023,0.88083,0.97652,0.71316,0.96275,0.55462,1.36025,0.0009704,0.0009704,0.0009704
54,2197.88,0.91039,0.6902,1.29688,0.88725,0.9419,0.95226,0.68303,1.0156,0.60821,1.41531,0.0009506,0.0009506,0.0009506
55,2238.32,0.91401,0.66845,1.28975,0.93193,0.95148,0.98165,0.72209,0.94886,0.51621,1.33812,0.0009308,0.0009308,0.0009308
56,2278.91,0.91401,0.67567,1.29742,0.97837,0.95367,0.98803,0.71009,1.02663,0.55429,1.41426,0.000911,0.000911,0.000911
57,2319.33,0.89817,0.67011,1.28534,0.95709,0.9305,0.98451,0.71909,0.95717,0.5053,1.3487,0.0008912,0.0008912,0.0008912
58,2359.83,0.90945,0.67416,1.30493,0.97134,0.94208,0.9833,0.72332,0.94649,0.51701,1.36388,0.0008714,0.0008714,0.0008714
59,2400.29,0.88377,0.66106,1.27824,0.96209,0.94208,0.98624,0.71379,0.98959,0.49967,1.38975,0.0008516,0.0008516,0.0008516
60,2440.68,0.88691,0.66046,1.27291,0.96447,0.94324,0.97897,0.71574,0.99329,0.53532,1.38072,0.0008318,0.0008318,0.0008318
